category,text
spring,Spring Boot auto-configures beans based on what it finds on the classpath.
spring,The Spring IoC container manages the lifecycle of application objects called beans.
spring,Dependency injection lets Spring supply collaborators instead of objects creating them.
spring,Constructor injection is preferred over field injection for testability and immutability.
spring,A Spring bean is a singleton by default unless a different scope is declared.
spring,The @RestController annotation combines @Controller and @ResponseBody.
spring,Spring profiles let you activate different configuration for dev, test, and prod.
spring,application.yml externalizes configuration so it lives outside compiled code.
spring,Spring Data repositories generate query implementations from method names.
spring,The @Transactional annotation wraps a method in a database transaction.
spring,Spring Boot starters are curated dependency bundles that reduce version conflicts.
spring,Actuator exposes health, metrics, and info endpoints for running applications.
spring,A @Configuration class declares beans through @Bean-annotated methods.
spring,Spring MVC maps HTTP requests to handler methods using request mappings.
spring,The DispatcherServlet is the front controller that routes every incoming request.
spring,Spring Security filters intercept requests before they reach controllers.
spring,WebClient is the reactive, non-blocking successor to the older RestTemplate.
spring,Bean validation with Jakarta annotations rejects invalid request payloads early.
spring,Spring Boot embeds Tomcat so applications run as a self-contained jar.
spring,Component scanning discovers annotated classes and registers them as beans.
spring,The @Value annotation injects a single property value into a field or parameter.
spring,Spring AOP applies cross-cutting concerns like logging through proxies.
spring,ApplicationEventPublisher lets beans communicate through decoupled events.
spring,Spring Boot DevTools restarts the context automatically when classes change.
spring,A BeanPostProcessor can modify bean instances before and after initialization.
kotlin,A Kotlin data class generates equals, hashCode, toString, and copy automatically.
kotlin,Constructor parameters need val or var to become properties rather than arguments.
kotlin,Kotlin distinguishes nullable types with a question mark on the type name.
kotlin,The Elvis operator returns a fallback value when the left side is null.
kotlin,The double-bang operator asserts a value is non-null and throws otherwise.
kotlin,Platform types come from Java and carry no nullability information.
kotlin,Extension functions add behavior to a class without inheriting from it.
kotlin,A sealed class restricts its subclasses to a known set for exhaustive when.
kotlin,Kotlin coroutines provide structured concurrency without blocking threads.
kotlin,The suspend keyword marks a function that can pause and resume execution.
kotlin,Kotlin collections are read-only by default unless declared mutable.
kotlin,A when expression is an exhaustive alternative to a chain of if branches.
kotlin,Higher-order functions accept or return other functions as values.
kotlin,The let scope function runs a block on a value and returns the block result.
kotlin,Companion objects hold members that belong to the class rather than instances.
kotlin,Kotlin smart casts automatically narrow a type after a successful check.
kotlin,Destructuring declarations unpack an object into several named variables.
kotlin,An inline function copies its body to the call site to avoid lambda overhead.
kotlin,Kotlin interoperates with Java bidirectionally on the same JVM classpath.
kotlin,The lateinit modifier defers non-null property initialization to a later point.
kotlin,Default parameter values remove the need for many overloaded functions.
kotlin,String templates embed expressions directly inside string literals.
kotlin,Kotlin has no checked exceptions, so nothing forces a try-catch block.
kotlin,The apply scope function configures an object and returns the object itself.
kotlin,Type inference lets Kotlin deduce a variable type from its initializer.
kubernetes,Kubernetes schedules pods onto worker nodes based on resource requests.
kubernetes,A pod is the smallest deployable unit and can hold one or more containers.
kubernetes,A Deployment manages replica sets to keep a desired number of pods running.
kubernetes,A Service gives a stable network identity to a changing set of pods.
kubernetes,Ingress routes external HTTP traffic to services based on host and path rules.
kubernetes,ConfigMaps hold non-secret configuration separate from container images.
kubernetes,Secrets store sensitive values like passwords and tokens for pods to consume.
kubernetes,Liveness probes let the kubelet restart containers that have become unhealthy.
kubernetes,Readiness probes gate traffic until a container is prepared to serve it.
kubernetes,Namespaces partition a cluster into isolated groups of resources.
kubernetes,A StatefulSet gives pods stable identities and persistent storage.
kubernetes,Horizontal Pod Autoscaler scales replicas based on observed metrics.
kubernetes,Resource limits cap how much CPU and memory a container may consume.
kubernetes,kubectl is the command-line client that talks to the cluster API server.
kubernetes,The control plane holds the API server, scheduler, and controller manager.
kubernetes,etcd is the distributed key-value store that holds all cluster state.
kubernetes,A DaemonSet runs a copy of a pod on every node in the cluster.
kubernetes,Rolling updates replace old pods gradually to avoid downtime.
kubernetes,Persistent volumes decouple storage lifecycle from the pod that uses it.
kubernetes,Istio injects a sidecar proxy to manage service-to-service traffic.
kubernetes,An Istio VirtualService defines routing rules for requests to a host.
kubernetes,An Istio DestinationRule configures load balancing and connection pools.
kubernetes,An AuthorizationPolicy in Istio allows or denies traffic between workloads.
kubernetes,OpenShift builds on Kubernetes with added developer and operator tooling.
kubernetes,Helm packages Kubernetes manifests into versioned, reusable charts.
database,A relational database organizes data into tables of rows and columns.
database,A primary key uniquely identifies each row within a table.
database,A foreign key enforces a reference from one table to another.
database,An index speeds up reads at the cost of slower writes and extra storage.
database,Normalization reduces redundancy by splitting data across related tables.
database,A transaction groups statements so they succeed or fail as a unit.
database,ACID properties guarantee atomicity, consistency, isolation, and durability.
